annotation_count,api_path,artist_names,full_title,header_image_thumbnail_url,header_image_url,id,language,lyrics_owner_id,lyrics_state,path,pyongs_count,relationships_index_url,release_date_components,release_date_for_display,release_date_with_abbreviated_month_for_display,song_art_image_thumbnail_url,song_art_image_url,stats,title,title_with_featured,url,featured_artists,primary_artist
12,/songs/4478305,Vampire Weekend,Bambina by Vampire Weekend,https://images.genius.com/5f9a6674593806ac72677141c0e66330.300x300x1.png,https://images.genius.com/5f9a6674593806ac72677141c0e66330.1000x1000x1.png,4478305,en,1495791,complete,/Vampire-weekend-bambina-lyrics,2,https://genius.com/Vampire-weekend-bambina-sample,"{'year': 2019, 'month': 5, 'day': 3}","May 3, 2019","May. 3, 2019",https://images.genius.com/5f9a6674593806ac72677141c0e66330.300x300x1.png,https://images.genius.com/5f9a6674593806ac72677141c0e66330.1000x1000x1.png,"{'unreviewed_annotations': 3, 'hot': False, 'pageviews': 62785}",Bambina,Bambina,https://genius.com/Vampire-weekend-bambina-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
5,/songs/3883227,Vampire Weekend,Big Blue by Vampire Weekend,https://images.genius.com/5f9a6674593806ac72677141c0e66330.300x300x1.png,https://images.genius.com/5f9a6674593806ac72677141c0e66330.1000x1000x1.png,3883227,en,5738847,complete,/Vampire-weekend-big-blue-lyrics,2,https://genius.com/Vampire-weekend-big-blue-sample,"{'year': 2019, 'month': 3, 'day': 6}","March 6, 2019","Mar. 6, 2019",https://images.genius.com/c0d3820903875877e821f20211ef1eb4.300x300x1.png,https://images.genius.com/c0d3820903875877e821f20211ef1eb4.1000x1000x1.png,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 41607}",Big Blue,Big Blue,https://genius.com/Vampire-weekend-big-blue-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
5,/songs/53608,Vampire Weekend,Bryn by Vampire Weekend,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.300x300x1.jpg,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.1000x1000x1.jpg,53608,en,12,complete,/Vampire-weekend-bryn-lyrics,5,https://genius.com/Vampire-weekend-bryn-sample,"{'year': 2008, 'month': 1, 'day': 29}","January 29, 2008","Jan. 29, 2008",https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.300x300x1.jpg,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 28439}",Bryn,Bryn,https://genius.com/Vampire-weekend-bryn-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
0,/songs/7296698,Vampire Weekend,Bryn (Daytrotter Session) by Vampire Weekend,https://images.genius.com/188b237039ed8e9115349f8713b6b3eb.300x300x1.jpg,https://images.genius.com/188b237039ed8e9115349f8713b6b3eb.320x320x1.jpg,7296698,en,6110965,complete,/Vampire-weekend-bryn-daytrotter-session-lyrics,,https://genius.com/Vampire-weekend-bryn-daytrotter-session-sample,"{'year': 2007, 'month': 10, 'day': 22}","October 22, 2007","Oct. 22, 2007",https://images.genius.com/188b237039ed8e9115349f8713b6b3eb.300x300x1.jpg,https://images.genius.com/188b237039ed8e9115349f8713b6b3eb.320x320x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",Bryn (Daytrotter Session),Bryn (Daytrotter Session),https://genius.com/Vampire-weekend-bryn-daytrotter-session-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
14,/songs/2521,Vampire Weekend,California English by Vampire Weekend,https://images.genius.com/da1bfc9ea7066acd05856382b1cfc4ee.300x300x1.jpg,https://images.genius.com/da1bfc9ea7066acd05856382b1cfc4ee.1000x1000x1.jpg,2521,en,7,complete,/Vampire-weekend-california-english-lyrics,9,https://genius.com/Vampire-weekend-california-english-sample,"{'year': 2010, 'month': 1, 'day': 11}","January 11, 2010","Jan. 11, 2010",https://images.genius.com/da1bfc9ea7066acd05856382b1cfc4ee.300x300x1.jpg,https://images.genius.com/da1bfc9ea7066acd05856382b1cfc4ee.1000x1000x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 55653}",California English,California English,https://genius.com/Vampire-weekend-california-english-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
16,/songs/53600,Vampire Weekend,California English Pt. 2 by Vampire Weekend,https://images.genius.com/e10174c824b5c6b0cf1f60ccebf0fc8e.300x298x1.jpg,https://images.genius.com/e10174c824b5c6b0cf1f60ccebf0fc8e.640x635x1.jpg,53600,en,12,complete,/Vampire-weekend-california-english-pt-2-lyrics,3,https://genius.com/Vampire-weekend-california-english-pt-2-sample,"{'year': 2009, 'month': 11, 'day': 17}","November 17, 2009","Nov. 17, 2009",https://images.genius.com/e10174c824b5c6b0cf1f60ccebf0fc8e.300x298x1.jpg,https://images.genius.com/e10174c824b5c6b0cf1f60ccebf0fc8e.640x635x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 20858}",California English Pt. 2,California English Pt. 2,https://genius.com/Vampire-weekend-california-english-pt-2-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
11,/songs/53591,Vampire Weekend,Campus by Vampire Weekend,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.300x300x1.jpg,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.1000x1000x1.jpg,53591,en,12,complete,/Vampire-weekend-campus-lyrics,22,https://genius.com/Vampire-weekend-campus-sample,"{'year': 2008, 'month': 1, 'day': 29}","January 29, 2008","Jan. 29, 2008",https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.300x300x1.jpg,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.1000x1000x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 144911}",Campus,Campus,https://genius.com/Vampire-weekend-campus-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
0,/songs/8230924,Vampire Weekend,Campus (Original Rostam Version) by Vampire Weekend,https://images.genius.com/11aa552a22db678674a92e03df110e6e.300x300x1.jpg,https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg,8230924,en,16027134,complete,/Vampire-weekend-campus-original-rostam-version-lyrics,2,https://genius.com/Vampire-weekend-campus-original-rostam-version-sample,,,,https://images.genius.com/11aa552a22db678674a92e03df110e6e.300x300x1.jpg,https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",Campus (Original Rostam Version),Campus (Original Rostam Version),https://genius.com/Vampire-weekend-campus-original-rostam-version-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
7,/songs/53597,Vampire Weekend,Cape Cod Kwassa Kwassa by Vampire Weekend,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.300x300x1.jpg,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.1000x1000x1.jpg,53597,en,12,complete,/Vampire-weekend-cape-cod-kwassa-kwassa-lyrics,19,https://genius.com/Vampire-weekend-cape-cod-kwassa-kwassa-sample,"{'year': 2008, 'month': 8, 'day': 18}","August 18, 2008","Aug. 18, 2008",https://images.genius.com/e0e6ce03d4bc71258da5687eb59f7a69.300x300x1.jpg,https://images.genius.com/e0e6ce03d4bc71258da5687eb59f7a69.600x600x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 182234}",Cape Cod Kwassa Kwassa,Cape Cod Kwassa Kwassa,https://genius.com/Vampire-weekend-cape-cod-kwassa-kwassa-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
0,/songs/7279047,Vampire Weekend,Contra Melt B by Vampire Weekend,https://images.genius.com/6117070d1b6ce4f13c79cd292b565f28.300x300x1.jpg,https://images.genius.com/6117070d1b6ce4f13c79cd292b565f28.600x600x1.jpg,7279047,en,6110965,complete,/Vampire-weekend-contra-melt-b-lyrics,,https://genius.com/Vampire-weekend-contra-melt-b-sample,"{'year': 2010, 'month': 10, 'day': 27}","October 27, 2010","Oct. 27, 2010",https://images.genius.com/6117070d1b6ce4f13c79cd292b565f28.300x300x1.jpg,https://images.genius.com/6117070d1b6ce4f13c79cd292b565f28.600x600x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",Contra Melt B,Contra Melt B,https://genius.com/Vampire-weekend-contra-melt-b-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
1,/songs/270639,Vampire Weekend,Contra [Tracklist + Album Art] by Vampire Weekend,https://images.genius.com/da1bfc9ea7066acd05856382b1cfc4ee.300x300x1.jpg,https://images.genius.com/da1bfc9ea7066acd05856382b1cfc4ee.1000x1000x1.jpg,270639,en,1448826,complete,/Vampire-weekend-contra-tracklist-album-art-annotated,4,https://genius.com/Vampire-weekend-contra-tracklist-album-art-sample,"{'year': 2010, 'month': 1, 'day': 1}","January 1, 2010","Jan. 1, 2010",https://images.genius.com/da1bfc9ea7066acd05856382b1cfc4ee.300x300x1.jpg,https://images.genius.com/da1bfc9ea7066acd05856382b1cfc4ee.1000x1000x1.jpg,"{'unreviewed_annotations': 1, 'hot': False}",Contra [Tracklist + Album Art],Contra [Tracklist + Album Art],https://genius.com/Vampire-weekend-contra-tracklist-album-art-annotated,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
15,/songs/53595,Vampire Weekend,Cousins by Vampire Weekend,https://images.rapgenius.com/e21c6ad4e074c03630077351fc081256.300x300x1.jpg,https://images.rapgenius.com/e21c6ad4e074c03630077351fc081256.600x600x1.jpg,53595,en,12,complete,/Vampire-weekend-cousins-lyrics,13,https://genius.com/Vampire-weekend-cousins-sample,"{'year': 2009, 'month': 11, 'day': 17}","November 17, 2009","Nov. 17, 2009",https://images.genius.com/793857158141df49a72bfa8ffade8bd1.220x219x1.jpg,https://images.genius.com/793857158141df49a72bfa8ffade8bd1.220x219x1.jpg,"{'unreviewed_annotations': 1, 'hot': False, 'pageviews': 63703}",Cousins,Cousins,https://genius.com/Vampire-weekend-cousins-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
